店舗,機種名,End_Digit,稼働日数,集計数,平均差枚数,平均回転数,勝率
キング観光サウザンド津,新ハナビ,4.0,24,48,229.75,5928.729166666667,0.5208333333333334
キング観光サウザンド津,新ハナビ,5.0,24,48,50.0,5258.479166666667,0.4583333333333333
キング観光サウザンド津,新ハナビ,6.0,24,48,-51.75,5548.479166666667,0.4166666666666667
キング観光サウザンド津,新ハナビ,7.0,24,48,131.91666666666666,6142.5625,0.4791666666666667
キング観光サウザンド津,新ハナビ,8.0,24,48,268.75,5127.520833333333,0.5625
キング観光サウザンド津,新ハナビ,9.0,22,44,189.72727272727272,5572.909090909091,0.4772727272727273
キング観光サウザンド津,桃太郎電鉄 〜パチスロも定番!〜,1.0,3,3,69.33333333333333,1002.0,0.6666666666666666
キング観光サウザンド津,沖ドキ!BLACK,0.0,22,535,-192.53271028037383,3065.0542056074764,0.4542056074766355
キング観光サウザンド津,沖ドキ!BLACK,1.0,27,660,-251.34848484848484,2947.7227272727273,0.41515151515151516
キング観光サウザンド津,沖ドキ!BLACK,2.0,23,560,-401.69642857142856,2987.4875,0.4089285714285714
キング観光サウザンド津,沖ドキ!BLACK,3.0,23,560,-420.5,2956.0035714285714,0.41785714285714287
キング観光サウザンド津,沖ドキ!BLACK,4.0,24,590,-291.57457627118646,2732.313559322034,0.45084745762711864
キング観光サウザンド津,沖ドキ!BLACK,5.0,24,595,-350.6890756302521,2855.924369747899,0.426890756302521
キング観光サウザンド津,沖ドキ!BLACK,6.0,24,595,-263.3764705882353,2719.63025210084,0.42521008403361343
キング観光サウザンド津,沖ドキ!BLACK,7.0,24,600,-409.74,3665.47,0.43833333333333335
キング観光サウザンド津,沖ドキ!BLACK,8.0,24,600,-339.525,2714.285,0.43666666666666665
キング観光サウザンド津,沖ドキ!BLACK,9.0,22,535,-402.3644859813084,2733.336448598131,0.4093457943925234
キング観光サウザンド津,沖ドキ!ゴージャス 30Φ,0.0,22,845,-393.43905325443785,3233.175147928994,0.40473372781065087
キング観光サウザンド津,沖ドキ!ゴージャス 30Φ,1.0,27,1030,-359.72038834951456,3382.5145631067962,0.4300970873786408
キング観光サウザンド津,沖ドキ!ゴージャス 30Φ,2.0,23,880,-434.3772727272727,3045.0261363636364,0.40454545454545454
キング観光サウザンド津,沖ドキ!ゴージャス 30Φ,3.0,23,885,-278.025988700565,3089.0598870056497,0.43728813559322033
キング観光サウザンド津,沖ドキ!ゴージャス 30Φ,4.0,24,925,-368.6237837837838,2998.11027027027,0.41621621621621624
キング観光サウザンド津,沖ドキ!ゴージャス 30Φ,5.0,24,925,-371.63891891891893,3007.7783783783784,0.4064864864864865
キング観光サウザンド津,沖ドキ!ゴージャス 30Φ,6.0,24,925,-287.9816216216216,2866.8454054054055,0.40864864864864864
キング観光サウザンド津,沖ドキ!ゴージャス 30Φ,7.0,24,925,-502.14378378378376,3958.8670270270272,0.4097297297297297
キング観光サウザンド津,沖ドキ!ゴージャス 30Φ,8.0,24,925,-357.8291891891892,2919.374054054054,0.40756756756756757
キング観光サウザンド津,沖ドキ!ゴージャス 30Φ,9.0,22,845,-389.18461538461537,2902.5420118343195,0.4
キング観光サウザンド津,翔べ!ハーレムエース,0.0,10,16,-379.6875,2252.8125,0.25
キング観光サウザンド津,翔べ!ハーレムエース,1.0,12,21,-673.2380952380952,2256.9523809523807,0.09523809523809523
キング観光サウザンド津,翔べ!ハーレムエース,2.0,10,16,-470.125,1456.125,0.1875
キング観光サウザンド津,翔べ!ハーレムエース,3.0,10,16,-669.0625,2307.4375,0.25
キング観光サウザンド津,翔べ!ハーレムエース,4.0,10,16,96.4375,1527.6875,0.5625
キング観光サウザンド津,翔べ!ハーレムエース,5.0,10,16,-93.875,2180.0,0.4375
キング観光サウザンド津,翔べ!ハーレムエース,6.0,10,16,17.1875,1920.0625,0.4375
キング観光サウザンド津,翔べ!ハーレムエース,7.0,10,16,216.9375,2723.375,0.5625
キング観光サウザンド津,翔べ!ハーレムエース,8.0,10,16,-50.0,1232.6875,0.3125
キング観光サウザンド津,翔べ!ハーレムエース,9.0,10,16,0.125,1982.4375,0.3125
キング観光サウザンド生桑,A-SLOT+ この素晴らしい世界に祝福を!,0.0,3,3,-508.6666666666667,1313.3333333333333,0.3333333333333333
キング観光サウザンド生桑,A-SLOT+ この素晴らしい世界に祝福を!,1.0,5,5,193.8,2004.2,0.6
キング観光サウザンド生桑,A-SLOT+ この素晴らしい世界に祝福を!,2.0,4,4,-320.0,2209.5,0.25
キング観光サウザンド生桑,A-SLOT+ この素晴らしい世界に祝福を!,3.0,3,3,-441.3333333333333,945.0,0.3333333333333333
