店舗,機種名,Weekday,稼働日数,集計数,平均差枚数,平均回転数,勝率
A-FLAG津,Lルパン三世 大航海者の秘宝,金曜日,64,237,-170.73839662447259,715.9198312236286,0.12658227848101267
A-FLAG津,L主役は銭形4,土曜日,9,9,37.333333333333336,524.4444444444445,0.2222222222222222
A-FLAG津,L主役は銭形4,日曜日,10,10,585.7,1002.8,0.3
A-FLAG津,L主役は銭形4,月曜日,9,9,-575.1111111111111,686.1111111111111,0.0
A-FLAG津,L主役は銭形4,木曜日,9,9,363.0,300.1111111111111,0.1111111111111111
A-FLAG津,L主役は銭形4,水曜日,8,8,-470.375,539.875,0.0
A-FLAG津,L主役は銭形4,火曜日,9,9,-672.6666666666666,896.8888888888889,0.0
A-FLAG津,L主役は銭形4,金曜日,9,9,204.77777777777777,297.77777777777777,0.2222222222222222
A-FLAG津,L主役は銭形5,土曜日,25,25,262.72,2693.8,0.52
A-FLAG津,L主役は銭形5,日曜日,24,24,-885.5833333333334,2981.25,0.20833333333333334
A-FLAG津,L主役は銭形5,月曜日,24,24,-360.25,2042.4166666666667,0.2916666666666667
A-FLAG津,L主役は銭形5,木曜日,23,23,-10.08695652173913,1314.695652173913,0.34782608695652173
A-FLAG津,L主役は銭形5,水曜日,23,23,-4.913043478260869,2101.304347826087,0.34782608695652173
A-FLAG津,L主役は銭形5,火曜日,24,24,289.375,2116.5,0.4583333333333333
A-FLAG津,L主役は銭形5,金曜日,24,24,179.25,1977.1666666666667,0.375
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,土曜日,65,293,-118.25597269624573,1652.9931740614334,0.27303754266211605
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,日曜日,64,290,-103.72068965517241,1553.951724137931,0.2620689655172414
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,月曜日,65,294,-82.72789115646259,824.921768707483,0.14625850340136054
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,木曜日,64,289,-81.2318339100346,661.8235294117648,0.11764705882352941
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,水曜日,63,284,-125.77464788732394,733.8204225352113,0.11971830985915492
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,火曜日,64,288,-68.78125,732.2673611111111,0.1423611111111111
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,金曜日,64,290,-52.744827586206895,715.6620689655173,0.15862068965517243
A-FLAG津,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,土曜日,7,14,972.3571428571429,375.7142857142857,0.21428571428571427
A-FLAG津,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,日曜日,7,14,-823.0,898.8571428571429,0.0
A-FLAG津,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,月曜日,7,14,-179.14285714285714,226.07142857142858,0.0
A-FLAG津,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,木曜日,7,14,-387.57142857142856,555.2142857142857,0.07142857142857142
A-FLAG津,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,水曜日,6,12,-234.91666666666666,311.0,0.16666666666666666
A-FLAG津,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,火曜日,7,14,-192.71428571428572,454.14285714285717,0.07142857142857142
A-FLAG津,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,金曜日,7,14,169.92857142857142,414.42857142857144,0.14285714285714285
A-FLAG津,L麻雀物語,土曜日,25,46,-470.0,2344.2391304347825,0.17391304347826086
A-FLAG津,L麻雀物語,日曜日,24,44,-27.454545454545453,2017.7727272727273,0.29545454545454547
A-FLAG津,L麻雀物語,月曜日,25,46,265.2173913043478,1289.0217391304348,0.2391304347826087
A-FLAG津,L麻雀物語,木曜日,25,47,373.4468085106383,1135.3191489361702,0.19148936170212766
A-FLAG津,L麻雀物語,水曜日,24,45,556.5111111111111,1040.9555555555555,0.2222222222222222
A-FLAG津,L麻雀物語,火曜日,24,45,-54.44444444444444,842.6666666666666,0.13333333333333333
A-FLAG津,L麻雀物語,金曜日,25,46,-13.152173913043478,1718.804347826087,0.2826086956521739
A-FLAG津,SHAKE BONUS TRIGGER,土曜日,23,23,134.17391304347825,2270.2608695652175,0.5652173913043478
A-FLAG津,SHAKE BONUS TRIGGER,日曜日,22,22,-245.8181818181818,2211.681818181818,0.4090909090909091
A-FLAG津,SHAKE BONUS TRIGGER,月曜日,22,22,137.5909090909091,1844.8181818181818,0.4090909090909091
